-0.018788163,	-0.007358697,
-0.002191952,	-0.003835917,
-0.001487396,	-0.003366213,
-0.001643964,	-0.000704556,
-0.00039142,	-0.002974793,
-0.001252544,	-0.001722248,
-0.000469704,	-0.002113668,
-0.00078284,	-0.001878816,
-0.000156568,	-0.002661656,
-0.00039142,	-0.002270236,
0,	-0.002818225,
-0.00039142,	-0.002035384,
0.000234852,	-0.004070769,
-0.00078284,	0.002270236,
-7.8284E-05,	-0.002035384,
-0.000156568,	-0.002113668,
0.000547988,	-0.003053077,
7.8284E-05,	-0.002739941,
0.000469704,	-0.003053077,
-0.000547988,	0.000626272,
0.001095976,	-0.005479881,
0.000469704,	-0.004305621,
0.001095976,	-0.004853609,
0.00078284,	-0.004697041,
0.001409112,	-0.005558165,
0.001252544,	-0.005558165,
0.00156568,	-0.005949585,
0.001330828,	-0.005166745,
0.002270236,	-0.007280413,
0.00156568,	-0.006184437,
0.002583372,	-0.007358697,
0.00234852,	-0.007202129,
0.003366213,	-0.008532958,
0.003287929,	-0.008611242,
0.003757633,	-0.009394082,
0.002661656,	-0.006810709,
0.005636449,	-0.012760294,
0.005323313,	-0.012212306,
0.006341005,	-0.013699703,
0.006106153,	-0.014247691,
0.008219822,	-0.016517927,
0.008924378,	-0.017770471,
0.010411774,	-0.019727572,
0.010255206,	-0.01949272,
0.015343667,	-0.027399405,
0.015891655,	-0.028886801,
0.021606388,	-0.036558635,
0.024894317,	-0.043525912,
0.038594019,	-0.060513543,
0.05479881,	-0.087130108,
0.106153124,	-0.161499922,
0.654610928,	-1,
-0.170111163,	0.241349616,
-0.074917802,	0.106309692,
-0.050962893,	0.069203069,
-0.03530609,	0.049318929,
-0.031861594,	0.040472835,
-0.026225145,	0.033192422,
-0.022937216,	0.028182245,
-0.018240175,	0.021997808,
-0.019336152,	0.022702364,
-0.017457335,	0.020745264,
-0.016517927,	0.018240175,
-0.014482543,	0.016126507,
-0.014560827,	0.015187099,
-0.013229998,	0.013934555,
-0.012603726,	0.01268201,
-0.009315798,	0.009628934,
-0.01268201,	0.012212306,
-0.011820886,	0.011194614,
-0.011429466,	0.010176922,
-0.010176922,	0.009628934,
-0.010411774,	0.00915923,
-0.010020354,	0.008611242,
-0.00955065,	0.007984969,
-0.008141537,	0.006732425,
-0.00837639,	0.006575857,
-0.014952247,	0.01189917,
-0.010176922,	0.007671833,
-0.009002662,	0.007123845,
-0.009315798,	0.006419289,
-0.008846094,	0.006184437,
-0.00837639,	0.005636449,
-0.005010177,	0.003444497,
-0.009628934,	0.006027869,
-0.009315798,	0.005714733,
-0.008689526,	0.005323313,
-0.008063253,	0.005010177,
-0.008454674,	0.004697041,
-0.008063253,	0.004618757,
-0.007984969,	0.004383905,
-0.007045561,	0.003992485,
-0.007828401,	0.003835917,
-0.008454674,	0.004540473,
-0.007906685,	0.003914201,
-0.007750117,	0.003835917,
-0.008141537,	0.003366213,
-0.007436981,	0.003522781,
-0.007671833,	0.003444497,
-0.005871301,	0.002974793,
-0.007906685,	0.002583372,
-0.008141537,	0.004149053,
-0.008141537,	0.003131361,
-0.006341005,	0.002191952,
-0.006027869,	0.003366213,
-0.007515265,	0.002113668,
-0.006497573,	0.001643964,
-0.006732425,	0.001878816,
-0.006810709,	0.002426804,
-0.00876781,	0.002191952,
-0.007202129,	0.002191952,
-0.006810709,	0.001643964,
-0.006732425,	0.001800532,
-0.007045561,	0.001409112,
-0.006106153,	0.001252544,
-0.00234852,	0.00039142,
-0.00837639,	0.001643964,
-0.007750117,	0.001330828,
-0.007436981,	0.001252544,
-0.007280413,	0.001252544,
-0.007123845,	0.00117426,
-0.007358697,	0.00078284,
-0.006888993,	0.00078284,
-0.006732425,	0.000704556,
-0.007123845,	0.000939408,
-0.008219822,	0.000547988,
-0.007280413,	0.000547988,
-0.007123845,	0.000313136,
